部队,攻击力,精神力,防御力,爆发力,士气,移动力
群雄,Ａ,Ａ,Ａ,Ａ,Ａ,６
英雄,Ａ,Ａ,Ａ,Ａ,Ａ,６
霸王,Ａ,Ａ,Ａ,Ａ,Ａ,７
轻步兵,Ｂ,Ａ,Ｓ,Ｂ,Ｂ,４
重步兵,Ｂ,Ａ,Ｓ,Ｂ,Ｂ,４
近卫兵,Ｂ,Ａ,Ｓ,Ｂ,Ｂ,５
弓兵,Ａ,Ｂ,Ｂ,Ｂ,Ｓ,４
弩兵,Ａ,Ｂ,Ｂ,Ｂ,Ｓ,４
连弩兵,Ａ,Ｂ,Ｂ,Ｂ,Ｓ,５
轻骑兵,Ｓ,Ｂ,Ａ,Ｂ,Ｂ,６
重骑兵,Ｓ,Ｂ,Ａ,Ｂ,Ｂ,６
亲卫队,Ｓ,Ｂ,Ａ,Ｂ,Ｂ,７
弓骑兵,Ｓ,Ｂ,Ｂ,Ｂ,Ａ,６
弩骑兵,Ｓ,Ｂ,Ｂ,Ｂ,Ａ,６
连弩骑兵,Ｓ,Ｂ,Ｂ,Ｂ,Ａ,７
轻炮车,Ｓ,Ｂ,Ａ,Ｃ,Ａ,３
重炮车,Ｓ,Ｂ,Ａ,Ｃ,Ａ,３
霹雳车,Ｓ,Ｂ,Ａ,Ｃ,Ａ,４
武道家,Ａ,Ｃ,Ａ,Ｓ,Ｂ,５
拳士,Ａ,Ｃ,Ａ,Ｓ,Ｂ,５
拳圣,Ａ,Ｃ,Ａ,Ｓ,Ｂ,６
贼兵,Ｓ,Ｃ,Ｂ,Ｂ,Ｓ,５
义贼,Ｓ,Ｃ,Ｂ,Ｂ,Ｓ,５
豪杰,Ｓ,Ｃ,Ｂ,Ｂ,Ｓ,６
策士,Ｂ,Ｓ,Ｂ,Ｂ,Ｂ,４
参谋,Ｂ,Ｓ,Ｂ,Ｂ,Ｂ,４
军师,Ｂ,Ｓ,Ｂ,Ｂ,Ｂ,５
风水士,Ｃ,Ｓ,Ｃ,Ａ,Ａ,４
方术士,Ｃ,Ｓ,Ｃ,Ａ,Ａ,５
仙术士,Ｃ,Ｓ,Ｃ,Ａ,Ａ,６
道士,Ｃ,Ｓ,Ｂ,Ａ,Ｂ,４
幻术士,Ｃ,Ｓ,Ｂ,Ａ,Ｂ,４
妖术士,Ｃ,Ｓ,Ｂ,Ａ,Ｂ,５
骑马策士,Ａ,Ｓ,Ｂ,Ｂ,Ｃ,６
骑马参谋,Ａ,Ｓ,Ｂ,Ｂ,Ｃ,６
骑马军师,Ａ,Ｓ,Ｂ,Ｂ,Ｃ,７
舞娘,Ａ,Ｂ,Ｂ,Ｓ,Ｂ,５
舞伎,Ａ,Ｂ,Ｂ,Ｓ,Ｂ,５
巫女,Ａ,Ｂ,Ｂ,Ｓ,Ｂ,６
西凉骑兵,Ｓ,Ｃ,Ｓ,Ｂ,Ｂ,６
黄巾贼,Ｂ,Ｃ,Ｂ,Ｂ,Ｃ,４
海盗,Ｓ,Ｂ,Ｂ,Ａ,Ｂ,５
驯熊师,Ｓ,Ｃ,Ａ,Ｂ,Ｂ,４
驯虎师,Ａ,Ｃ,Ａ,Ｓ,Ｃ,５
都督,Ａ,Ｓ,Ｂ,Ｂ,Ｂ,５
咒术士,Ｃ,Ｓ,Ｂ,Ｂ,Ａ,５
仙人,Ｃ,Ｓ,Ｃ,Ａ,Ｓ,７
辎重队,Ｃ,Ｂ,Ｃ,Ｃ,Ｂ,４
粮秣队,Ｃ,Ｂ,Ｃ,Ｃ,Ｂ,４
木人,Ａ,Ｃ,Ａ,Ｓ,Ｃ,４
土偶,Ｓ,Ｃ,Ｓ,Ｂ,Ｂ,４
皇帝,Ｃ,Ｃ,Ｃ,Ｃ,Ｓ,４
百姓,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,４